"Rescue ID","Name","Birthdate","Sex","Primary Breed","Color (General)","Status","Created","Euthanasia Date","Adopted Date"
"F13-386","Charbay","","Female","Abyssinian","Brown Tabby","Adopted","10/23/2013 2:15 PM","","4/9/2014"
"F13-388","Galina","","Female","Maine Coon","Tortoiseshell","Adopted","10/23/2013 3:07 PM","",""
"F13-389","Sergei II","","Male","Domestic Short Hair","Orange and White","Adopted","10/23/2013 3:29 PM","",""
"F13-390","Aragon","10/1/2012","Male","Domestic Short Hair","Cream","Adopted","10/23/2013 1:27 PM","","12/6/2014"
"F13-391","Sofia","","Female","Maine Coon","Brown Tabby","Adopted","10/23/2013 3:32 PM","","2/8/2014"
"F13-392","Twily","","Female","Norwegian Forest Cat","Gray","Adopted","11/9/2013 5:05 PM","","1/25/2014"
"F13-395","Arielle","9/12/2013","Female","Domestic Short Hair","Gray","Adopted","11/9/2013 4:10 PM","","5/31/2014"
"F13-397","Alistar","9/12/2013","Male","Russian Blue","Gray","Euthanized","11/9/2013 4:05 PM","6/8/2019","3/22/2016"
"F13-398","Penelope (fka Teen Mom)","10/19/2008","Female","British Shorthair","Gray","Adopted","11/9/2013 5:01 PM","","5/1/2015"
"F13-399","Harper","","Female","Domestic Short Hair","Black and White","Adopted","11/9/2013 4:20 PM","",""
"F13-401","Stormy L","7/29/2013","Female","Domestic Medium Hair","Tortoiseshell","Adopted","11/9/2013 4:53 PM","","7/17/2014"
"F13-402","Annabelle L","7/29/2013","Female","Domestic Short Hair","Black","Adopted","11/9/2013 4:08 PM","","7/19/2014"
"F13-403","Big George Aloicious","9/7/2013","Male","Domestic Short Hair","Orange and White","Adopted","11/26/2013 12:24 PM","","2/23/2014"
"F13-404","Little George Aloicious","9/7/2013","Male","Domestic Short Hair","Orange","Adopted","11/26/2013 1:05 PM","","2/23/2014"
"F13-405","Tigger Aloicious","","Male","Domestic Short Hair","","Adopted","11/26/2013 1:26 PM","","1/25/2014"
"F13-406","Callie Aloicious","9/7/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","11/26/2013 12:29 PM","","12/15/2020"
"F13-407","Sunnie Aloicious","9/7/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","11/26/2013 1:25 PM","","12/15/2020"
"F13-408","Harry Black","8/31/2013","Male","Domestic Short Hair","Black","Adopted","11/9/2013 4:22 PM","","3/1/2014"
"F13-409","Bess Black","8/31/2013","Female","Domestic Short Hair","Black","Adopted","11/9/2013 4:15 PM","","4/19/2014"
"F13-410","Sweetie Pie Orange","8/31/2013","Male","Domestic Short Hair","Orange and White","Adopted","11/9/2013 4:59 PM","","2/19/2014"
"F13-411","Pumpkin Spice","8/31/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","11/9/2013 4:37 PM","","2/19/2014"
"F13-412","Stripes","8/31/2013","Female","Domestic Short Hair","Brown Tabby","Adopted","11/9/2013 4:57 PM","","3/15/2014"
"F13-413","Merle","8/14/2013","Male","Ragdoll","White","Adopted","11/9/2013 4:28 PM","","1/25/2014"
"F13-414","Mumford","8/14/2013","Male","Ragdoll","White","Adopted","11/9/2013 4:35 PM","","1/25/2014"
"F13-416","Dale","11/3/2000","Male","Domestic Short Hair","Orange and White","Adopted","11/9/2013 4:19 PM","","10/24/2015"
"F13-417","Sherlock","","Male","Domestic Short Hair","Orange","Adopted","11/9/2013 4:39 PM","","1/25/2014"
"F13-418","Mandarin T","8/14/2013","Female","Domestic Short Hair","White (Mostly)","Adopted","11/9/2013 4:24 PM","","3/1/2014"
"F13-419","Mosby T","8/14/2014","Female","Domestic Short Hair","Gray","Adopted","11/9/2013 4:30 PM","","3/1/2014"
"F13-420","Stripe T","8/14/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","11/9/2013 4:56 PM","","3/1/2014"
"F13-421","Gavin H","8/15/2013","Male","Norwegian Forest Cat","","Adopted","2/26/2014 9:19 PM","","1/25/2014"
"F13-422","Garvey H","8/15/2013","Male","Maine Coon","Gray  Blue or Silver Tabby","Adopted","2/26/2014 9:10 PM","","1/28/2014"
"F13-423","Snowden","9/25/2013","Male","Siamese","Cream (Mostly)","Adopted","11/26/2013 1:21 PM","","9/10/2014"
"F13-424","Sheldon II","","Male","Snowshoe","Cream (Mostly)","Adopted","11/26/2013 1:14 PM","","1/25/2014"
"F13-425","Sheridan","9/25/2013","Female","Siamese","Calico or Dilute Calico","Adopted","11/26/2013 1:15 PM","","9/10/2014"
"F13-427","K.C. Foster","6/5/2013","Male","Domestic Short Hair","Gray and White","Adopted","11/26/2013 1:01 PM","",""
"F13-428","Sammy Orange","8/20/2013","Male","Domestic Short Hair","Orange and White","Passed Away","11/26/2013 1:12 PM","",""
"F13-429","Calliope","11/13/2011","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","11/26/2013 12:41 PM","","4/17/2015"
"F13-430","Dagwood","5/11/2012","Male","Domestic Short Hair","Cream","Adopted","11/26/2013 12:47 PM","","3/30/2014"
"F13-431","Cream Cricket","10/17/2013","Female","Domestic Medium Hair","Cream","Adopted","11/26/2013 12:44 PM","","8/19/2014"
"F13-432","Misty Cricket","10/17/2013","Male","Domestic Medium Hair","Calico or Dilute Calico","Adopted","12/16/2013 11:49 AM","","4/19/2014"
"F13-433","Peaches Cricket","10/17/2013","Male","Domestic Medium Hair","Cream","Adopted","11/26/2013 1:11 PM","","8/19/2014"
"F13-435","Turtle Cricket","10/17/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","11/26/2013 1:28 PM","","1/14/2014"
"F13-436","Sherpa","","Female","Ragdoll","Cream (Mostly)","Adopted","11/26/2013 1:17 PM","","1/25/2014"
"F13-437","Kenya II","11/19/2011","Female","Domestic Short Hair","Tortoiseshell","Adopted","11/26/2013 1:03 PM","","2/28/2014"
"F13-438","Gary","10/24/2013","Male","Domestic Short Hair","Orange","Adopted","11/26/2013 12:52 PM","","4/14/2014"
"F13-439","Mili","10/24/2013","Female","Domestic Short Hair","Gray","Adopted","11/26/2013 1:06 PM","","4/19/2014"
"F13-440","Sofie","10/24/2013","Female","Domestic Short Hair","Brown Tabby","Adopted","11/26/2013 1:23 PM","","4/14/2014"
"F13-441","Jasper K","5/1/2013","Male","Russian Blue","Gray","Adopted","11/26/2013 12:58 PM","","7/9/2016"
"F13-442","Patches Cricket","10/17/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","11/26/2013 1:09 PM","","4/17/2014"
"F13-443","Gail H","9/12/2013","Female","Domestic Short Hair","Gray and White","Adopted","11/26/2013 12:48 PM","","4/10/2014"
"F13-444","Glenna H","9/12/2013","Female","Norwegian Forest Cat","Gray and White","Adopted","11/26/2013 12:56 PM","","4/19/2014"
"F13-445","Garrett H","8/22/2013","Male","Domestic Short Hair","Gray","Adopted","11/26/2013 12:50 PM","","5/1/2020"
"F13-446","George H","7/25/2013","Male","Domestic Short Hair","Gray and White","Adopted","11/26/2013 12:54 PM","","2/8/2014"
"F13-447","Daisy Traveler","10/1/2012","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","12/10/2013 2:17 PM","","3/3/2014"
"F13-448","Liam","12/1/2010","Male","Siamese","Cream","Adopted","12/10/2013 2:24 PM","","2/8/2014"
"F13-449","Tawny","","Female","Domestic Short Hair","Cream","Adopted","12/10/2013 2:33 PM","","1/18/2014"
"F13-450","Khalisee","","Female","Oriental Short Hair","White (Mostly)","Adopted","12/10/2013 2:20 PM","","1/19/2014"
"F13-451","String Bean","8/8/2013","Male","Domestic Short Hair","Brown Tabby","Adopted","12/10/2013 2:31 PM","","7/16/2014"
"F13-452","Berry Bean","8/8/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/10/2013 2:13 PM","","7/16/2014"
"F13-453","Sissy Bean","8/8/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/10/2013 2:29 PM","","7/16/2014"
"F13-454","Selina F","10/8/2013","Female","Domestic Short Hair","Black","Adopted","2/2/2014 4:52 PM","","3/13/2014"
"F13-455","Seraphim F","10/8/2013","Male","Domestic Medium Hair","Gray","Adopted","2/2/2014 5:00 PM","","3/8/2014"
"F13-456","Sebastian F","10/8/2013","Male","Domestic Long Hair","Black and White","Adopted","12/23/2013 11:54 AM","","4/19/2014"
"F13-457","Reilly","7/29/2013","Male","Domestic Short Hair","Orange and White","Adopted","1/3/2014 1:39 PM","","2/1/2014"
"F13-458","Hope Angel","6/1/2013","Female","Domestic Short Hair","Black and White","Adopted","1/3/2014 1:35 PM","","7/2/2014"
"F13-459","Sunny G","10/19/2011","Male","Domestic Short Hair","Orange and White","Adopted","1/3/2014 1:41 PM","","1/9/2016"
"F13-460","Aria","5/10/2013","Female","Domestic Short Hair","Black","Adopted","2/20/2014 3:42 PM","","1/25/2014"
"F13-461","Punkin Bean","8/8/2013","Male","Domestic Short Hair","Brown Tabby","Adopted","2/2/2014 2:40 PM","","4/18/2014"
"F13-463","Silvia","6/17/2013","Female","Domestic Short Hair","Gray","Adopted","2/2/2014 6:04 PM","","3/7/2014"
"F13-464","Razzy","5/1/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/28/2015 9:39 AM","","7/29/2014"
"F14-001","Isabella Black","10/19/2013","Female","Domestic Medium Hair","Black","Adopted","1/26/2014 5:07 PM","","4/19/2014"
"F14-002","Katybird G","12/19/2011","Female","Domestic Medium Hair","White","Adopted","1/26/2014 5:09 PM","","3/29/2017"
"F14-003","Checkers G","7/22/2013","Female","Domestic Long Hair","Black and White","Adopted","1/26/2014 5:06 PM","","4/12/2014"
"F14-004","Marker S","10/10/2013","Male","Domestic Short Hair","Black","Adopted","2/1/2014 9:37 AM","","4/19/2014"
"F14-005","Millenia S","10/10/2013","Female","Domestic Short Hair","Black","Adopted","2/1/2014 9:41 AM","","7/8/2014"
"F14-006","Mozart S","10/10/2013","Male","Domestic Short Hair","Orange","Adopted","2/1/2014 9:43 AM","","3/1/2014"
"F14-007","Sam-E","7/2/2001","Male","Maine Coon","","Adopted","3/7/2014 10:14 AM","","9/6/2014"
"F14-008","Penguin","2/7/2011","Male","Domestic Short Hair","Black and White","Adopted","2/7/2014 4:29 PM","","4/23/2014"
"F14-009","Valentine","8/6/2013","Female","Maine Coon","Brown Tabby","Adopted","2/10/2014 1:21 PM","","2/25/2014"
"F14-010","Doubloon","2/8/2013","Male","Siamese","Cream","Adopted","2/10/2014 1:23 PM","","4/18/2014"
"F14-011","Katarina","2/6/2013","Female","Siamese","Cream (Mostly)","Adopted","2/10/2014 1:25 PM","","6/24/2017"
"F14-012","Dustin S","8/10/2013","Male","Russian Blue","Gray","Adopted","2/10/2014 1:26 PM","","7/30/2014"
"F14-013","Sochi","6/15/2013","Male","Domestic Short Hair","Black and White","Adopted","2/17/2014 10:05 PM","","8/1/2014"
"F14-014","Cutest Ever","9/13/2013","Female","Domestic Short Hair","Tortoiseshell","Adopted","3/13/2014 3:45 PM","","4/19/2014"
"F14-015","Maximillion","3/13/2012","Male","Domestic Short Hair","Brown (Mostly)","Adopted","3/13/2014 3:48 PM","","2/2/2015"
"F14-016","Moses G","3/14/2013","Male","Domestic Medium Hair","Gray and White","Adopted","3/17/2014 1:37 PM","","6/14/2014"
"F14-017","Betsey Kitten","1/1/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","3/17/2014 1:41 PM","","4/24/2014"
"F14-018","Bristol F","6/19/2001","Female","Domestic Short Hair","Black","Adopted","3/25/2014 11:12 AM","","5/2/2014"
"F14-019","Lucas","5/19/2009","Male","Domestic Short Hair","Orange","Adopted","3/30/2014 10:57 AM","","9/30/2014"
"F14-020","Charlie K","7/17/2012","Male","Norwegian Forest Cat","Orange and White","Adopted","3/30/2014 11:02 AM","","5/13/2016"
"F14-021","Tucker K","7/17/2012","Male","Norwegian Forest Cat","Black and White","Adopted","3/30/2014 11:07 AM","","11/11/2019"
"F14-022","Superforce","11/12/1998","Female","Domestic Short Hair","Gray","Passed Away","4/1/2014 10:46 AM","",""
"F14-023","Mr. Whiskers","11/11/2000","Male","Domestic Short Hair","Brown Tabby","Euthanized","4/1/2014 10:49 AM","4/16/2014",""
"F14-024","Callie Luna","4/1/2008","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","4/7/2014 9:04 AM","","3/1/2015"
"F14-025","Twinkie R","4/1/2012","Male","Domestic Short Hair","Orange (Mostly)","Adopted","4/7/2014 9:10 AM","","5/8/2014"
"F14-026","Georgia L","6/9/2013","Female","Maine Coon","Orange (Mostly)","Adopted","4/10/2014 7:57 PM","","6/24/2014"
"F14-027","India","4/26/2012","Female","Domestic Short Hair","Brown Tabby","Adopted","4/28/2014 10:17 AM","","4/26/2014"
"F14-028","Lilly Jewel","7/26/2011","Female","Domestic Medium Hair","Tortoiseshell","Adopted","5/20/2014 12:16 PM","","7/27/2014"
"F14-029","Hera","9/22/2013","Female","Domestic Long Hair","Black","Adopted","5/22/2014 2:51 PM","","7/16/2014"
"F14-030","Cary G","4/11/2012","Male","Domestic Short Hair","Brown Tabby","Adopted","4/22/2014 1:58 PM","","7/27/2014"
"F14-031","Copper G","1/25/2014","Female","Maine Coon","Black and White","Adopted","5/23/2014 11:58 AM","","8/15/2014"
"F14-032","Yoko D","4/24/2012","Male","Domestic Long Hair","Black and White","Adopted","5/23/2014 12:09 PM","","7/28/2014"
"F14-033","Zorra","11/1/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","5/23/2014 12:15 PM","","7/26/2014"
"F14-034","Link","4/6/2014","Male","Norwegian Forest Cat","Orange","Adopted","6/5/2014 1:16 PM","","7/26/2014"
"F14-035","Zelda","4/6/2014","Female","Norwegian Forest Cat","Tortoiseshell","Adopted","6/5/2014 1:35 PM","","7/26/2014"
"F14-036","Azula","4/6/2014","Female","Norwegian Forest Cat","Tortoiseshell","Adopted","6/5/2014 1:41 PM","","7/26/2014"
"F14-037","Suki B","4/6/2014","Female","Norwegian Forest Cat","Black and White","Adopted","6/5/2014 1:50 PM","","7/26/2014"
"F14-038","Castiel","4/6/2014","Male","Norwegian Forest Cat","Black","Adopted","6/5/2014 1:58 PM","","7/26/2014"
"F14-039","Ivan II","4/15/2014","Male","Domestic Short Hair","Black and White","Adopted","6/17/2014 12:37 PM","","9/6/2014"
"F14-040","Aria II","4/15/2014","Female","Domestic Short Hair","Brown Tabby","Adopted","6/17/2014 12:38 PM","","9/6/2014"
"F14-041","Sterling","4/29/2014","Male","Russian Blue","Gray","Adopted","6/17/2014 12:51 PM","","11/1/2014"
"F14-042","Julianne D","3/4/2014","Female","Domestic Long Hair","Black","Adopted","6/17/2014 1:07 PM","","7/26/2014"
"F14-043","Derek D","3/4/2014","Male","Domestic Long Hair","Black and White","Adopted","6/17/2014 1:09 PM","","7/26/2014"
"F14-044","Jet S","4/29/2014","Female","Oriental Short Hair","Black","Adopted","6/17/2014 1:13 PM","","11/30/2016"
"F14-045","Righty S","4/29/2014","Male","Oriental Short Hair","Black and White","Adopted","6/17/2014 1:17 PM","","12/5/2014"
"F14-046","Lefty S","4/29/2014","Male","Oriental Short Hair","Black and White","Adopted","6/17/2014 1:19 PM","","12/5/2014"
"F14-047","Joan S","4/29/2014","Female","Oriental Short Hair","Tortoiseshell","Adopted","6/17/2014 1:23 PM","","11/30/2016"
"F14-048","Captain S","4/22/2014","Male","Domestic Short Hair","Orange","Adopted","6/17/2014 1:35 PM","","5/1/2020"
"F14-049","Tenille S","4/22/2014","Female","Domestic Short Hair","Tortoiseshell","Adopted","6/17/2014 1:39 PM","","4/2/2017"
"F14-050","Pandora S","3/18/2014","Female","Maine Coon","Brown Tabby","Adopted","6/17/2014 1:53 PM","","8/23/2014"
"F14-051","Hera S","3/18/2014","Female","Maine Coon","Brown Tabby","Adopted","6/17/2014 1:53 PM","","7/26/2014"
"F14-052","Zeus S","3/18/2014","Male","Maine Coon","Black","Adopted","6/17/2014 1:58 PM","","8/15/2014"
"F14-053","Poseidon S","3/18/2014","Male","Maine Coon","Gray  Blue or Silver Tabby","Adopted","6/17/2014 2:00 PM","","8/23/2014"
"F14-054","Charlise","12/17/2012","Female","Domestic Short Hair","Tortoiseshell","Adopted","6/17/2014 2:32 PM","","8/16/2014"
"F14-055","Cobra","9/7/2010","Male","Siamese","Gray  Blue or Silver Tabby","Adopted","6/26/2014 7:18 PM","","6/28/2014"
"F14-056","Elyse","10/22/2013","Female","Siamese","Cream (Mostly)","Adopted","6/26/2014 10:08 PM","","10/25/2014"
"F14-057","Elsa E","4/20/2014","Female","Siamese","Calico or Dilute Calico","Pending","6/26/2014 10:14 PM","","9/6/2014"
"F14-058","Anna E","4/20/2014","Female","Siamese","Calico or Dilute Calico","Pending","6/26/2014 10:17 PM","","9/6/2014"
"F14-059","Mike E","4/20/2014","Male","Siamese","Black and White","Adopted","6/26/2014 10:22 PM","","11/2/2014"
"F14-060","Toblerone","4/15/2014","Male","Domestic Short Hair","Orange and White","Adopted","6/30/2014 12:19 PM","","7/15/2017"
"F14-061","Godiva II","4/15/2014","Female","Domestic Medium Hair","Brown Tabby","Adopted","6/30/2014 12:41 PM","","9/6/2014"
"F14-062","Dove","4/15/2014","Female","Domestic Short Hair","Gray (Mostly)","Adopted","6/30/2014 12:44 PM","","10/26/2014"
"F14-063","Cadbury","4/15/2014","Male","Domestic Medium Hair","Red Tabby","Adopted","6/30/2014 12:48 PM","","9/27/2014"
"F14-064","Cocoa","4/15/2014","Female","Domestic Short Hair","Gray (Mostly)","Adopted","6/30/2014 12:51 PM","","1/25/2015"
"F14-065","Nestle","4/15/2014","Male","Domestic Short Hair","Tuxedo","Adopted","6/30/2014 12:55 PM","","9/27/2014"
"F14-066","Loretta R","6/14/2008","Female","Domestic Short Hair","Tan","Adopted","6/30/2014 2:30 PM","","3/15/2015"
"F14-067","Farley fka Hawkeye F","5/4/2014","Male","Domestic Short Hair","Black","Adopted","7/2/2014 1:57 PM","","11/7/2019"
"F14-068","Gus fka Trapper F","5/4/2014","Male","Domestic Short Hair","Gray","Adopted","7/2/2014 1:58 PM","","11/7/2019"
"F14-069","Tommy Chestnut","5/7/2014","Male","Domestic Short Hair","Orange and White","Adopted","7/2/2014 2:14 PM","","11/1/2014"
"F14-070","Persephone","12/10/2012","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/2/2014 5:48 PM","","11/2/2014"
"F14-071","Thelma M","5/7/2014","Female","Ragdoll","Calico or Dilute Calico","Adopted","7/2/2014 5:53 PM","","9/27/2014"
"F14-072","Louise M","5/7/2014","Female","Ragdoll","Calico or Dilute Calico","Adopted","7/2/2014 5:59 PM","","9/27/2014"
"F14-073","Diana M","5/7/2014","Female","Ragdoll","Orange","Adopted","7/2/2014 6:16 PM","","12/13/2014"
"F14-074","Mr. Tibbs M","5/7/2014","Male","Ragdoll","Black and White","Adopted","7/2/2014 6:18 PM","","9/18/2014"
"F14-075","Chickadee M","5/7/2014","Female","Ragdoll","Black and White","Adopted","7/2/2014 6:21 PM","","9/18/2014"
"F14-076","Starling","5/2/2012","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:09 AM","","2/4/2015"
"F14-077","Sparrow K","5/2/2014","Female","Maine Coon","Brown Tabby","Adopted","7/11/2014 9:11 AM","","9/27/2014"
"F14-078","Robin K","5/2/2014","Male","Maine Coon","Brown Tabby","Adopted","7/11/2014 9:12 AM","","9/27/2014"
"F14-079","Dove K","5/2/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:20 AM","","11/9/2014"
"F14-080","Lark K","5/2/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:23 AM","","11/9/2014"
"F14-081","Carmella","3/10/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:43 AM","","7/21/2014"
"F14-082","Stitches","7/10/2013","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:34 AM","","9/10/2014"
"F14-083","Buttons S","5/10/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:36 AM","","11/9/2014"
"F14-084","Patches S","5/10/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","7/11/2014 9:36 AM","","11/9/2014"
"F14-085","Pico","4/10/2014","Male","Domestic Short Hair","Brown Tabby","Adopted","7/11/2014 9:47 AM","","12/12/2014"
"F14-086","Chile Cheese","4/10/2014","Male","Domestic Short Hair","Brown Tabby","Adopted","7/11/2014 9:49 AM","","12/12/2014"
"F14-087","Black Bean","4/10/2014","Male","Maine Coon","Brown Tabby","Adopted","7/11/2014 9:49 AM","","9/6/2014"
"F14-088","Margarita","4/10/2014","Female","Maine Coon","Brown Tabby","Adopted","7/11/2014 9:46 AM","","11/10/2014"
"F14-089","Sheldon W","5/10/2014","Male","Domestic Short Hair","Black (Mostly)","Adopted","7/11/2014 10:43 AM","","9/27/2014"
"F14-090","Penny W","5/10/2014","Female","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","7/11/2014 10:44 AM","","11/3/2014"
"F14-091","Simon W","5/10/2014","Male","Domestic Short Hair","Black and White","Adopted","7/11/2014 10:45 AM","","10/16/2014"
"F14-092","Kunal W","5/10/2014","Male","Domestic Short Hair","Brown Tabby","Adopted","7/11/2014 10:46 AM","","10/6/2014"
"F14-093","Leonard W","5/10/2014","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","7/11/2014 10:47 AM","","11/3/2014"
"F14-094","Nickel M","5/22/2014","Male","Russian Blue","Gray","Adopted","7/11/2014 10:55 AM","","11/9/2014"
"F14-095","Pewter M","5/22/2014","Male","Russian Blue","Gray","Adopted","7/11/2014 10:56 AM","","11/9/2014"
"F14-096","Tin Man M","5/22/2014","Male","Russian Blue","Gray","Euthanized","7/11/2014 10:57 AM","7/11/2014",""
"F14-097","Lucinda H","5/15/2011","Female","Domestic Medium Hair","Tortoiseshell","Adopted","7/14/2014 10:15 AM","","3/21/2015"
"F14-098","Hogar","7/9/2009","Male","Turkish Van","White (Mostly)","Transferred","7/16/2014 4:40 PM","","2/1/2015"
"F14-099","Pepper Potts","6/23/2013","Female","Abyssinian","Brown Tabby","Adopted","7/17/2014 4:00 PM","","10/15/2014"
"F14-100","Tony Stark","7/6/2014","Male","Domestic Short Hair","Black","Adopted","7/17/2014 4:02 PM","","11/9/2014"
"F14-101","Jarvis","7/6/2014","Male","Abyssinian","Brown Tabby","Adopted","7/17/2014 4:04 PM","","12/9/2014"
"F14-102","Raven P","7/6/2014","Female","Maine Coon","Brown Tabby","Adopted","7/17/2014 4:05 PM","","12/9/2014"
"F14-103","Sage P","7/6/2014","Female","Abyssinian","Brown Tabby","Adopted","7/17/2014 4:06 PM","","1/24/2015"
"F14-104","Thor P","2/13/2014","Male","Maine Coon","Brown Tabby","Adopted","7/17/2014 4:09 PM","","11/28/2014"
"F14-105","Maximum Scruffles","5/31/2014","Male","Maine Coon","Black and White","Adopted","7/26/2014 8:38 PM","","4/24/2015"
"F14-106","Curry K","5/17/2014","Male","Domestic Short Hair","Orange","Adopted","7/26/2014 8:42 PM","","12/8/2014"
"F14-107","Nutmeg K","5/31/2014","Male","Domestic Short Hair","Orange and White","Adopted","7/26/2014 8:48 PM","","10/5/2014"
"F14-108","Aga","5/31/2014","Male","Domestic Short Hair","Black","Adopted","7/31/2014 1:35 PM","","11/1/2014"
"F14-109","BB King II","6/14/2014","Male","Domestic Short Hair","Brown Tabby","Adopted","7/31/2014 1:39 PM","","2/7/2015"
"F14-110","Ebony II","6/12/2009","Female","Domestic Long Hair","Black","Adopted","8/1/2014 9:34 AM","","4/24/2015"
"F14-111","Sabrina H","6/17/2012","Female","Domestic Short Hair","Black","Adopted","8/1/2014 9:45 AM","","3/21/2015"
"F14-112","Lola M","7/31/2011","Female","Turkish Van","White","Adopted","8/4/2014 12:58 PM","","8/20/2014"
"F14-113","Ashlee G","5/29/2014","Female","Domestic Short Hair","Black and White","Adopted","8/10/2014 1:34 PM","","12/13/2014"
"F14-114","Matthew","5/11/2014","Male","Domestic Short Hair","Orange","Adopted","8/12/2014 11:25 AM","","8/13/2014"
"F14-115","Mark","5/11/2014","Male","Maine Coon","Orange and White","Adopted","8/12/2014 11:31 AM","","1/19/2016"
"F14-116","Luke M","5/11/2014","Male","Maine Coon","Orange and White","Adopted","8/12/2014 11:33 AM","","1/19/2016"
"F14-117","Hope K","5/8/2014","Female","Domestic Short Hair","Gray and White","Adopted","7/11/2014 9:16 AM","","9/27/2014"
"F14-118","Dixie Crystal","5/29/2014","Female","Maine Coon","Brown Tabby","Adopted","8/29/2014 8:36 AM","","1/2/2015"
"F14-119","Sierra K","8/20/2012","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","8/29/2014 8:41 AM","","9/27/2014"
"F14-120","Selene K","8/5/2012","Female","Domestic Short Hair","White","Euthanized","9/9/2014 8:23 AM","5/1/2018","5/16/2015"
"F14-121","Lianna K","8/12/2014","Female","Domestic Short Hair","White (Mostly)","Adopted","9/9/2014 8:24 AM","","12/13/2014"
"F14-122","Aden K","8/12/2014","Male","Domestic Short Hair","Orange","Adopted","9/9/2014 8:25 AM","","12/13/2014"
"F14-123","Luc K","8/12/2014","Male","Domestic Short Hair","White","Adopted","9/9/2014 8:25 AM","","1/24/2015"
"F14-124","Uri K","8/12/2014","Male","Domestic Short Hair","White","Adopted","9/9/2014 8:25 AM","","12/5/2014"
"F14-125","Elin K","8/12/2014","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","9/9/2014 8:26 AM","","2/7/2015"
"F14-126","Lainey K","8/20/2014","Female","Domestic Short Hair","Brown Tabby","Adopted","9/9/2014 8:27 AM","","12/13/2014"
"F14-127","Miso K","5/31/2014","Male","Domestic Short Hair","Orange (Mostly)","Adopted","9/9/2014 8:31 AM","","11/9/2014"
"F14-128","Sushi K","5/31/2014","Male","Siamese","Ivory (Mostly)","Adopted","9/9/2014 8:33 AM","","11/9/2014"
"F14-129","Vivian Leigh","7/16/2014","Female","Domestic Short Hair","Black","Adopted","9/9/2014 8:35 AM","","11/20/2014"
"F14-130","Liza Minnelli","7/16/2014","Female","Domestic Short Hair","Brown Tabby","Adopted","9/9/2014 8:36 AM","","9/23/2017"
"F14-131","Ava Gardner","7/16/2014","Female","Domestic Short Hair","Black","Adopted","9/9/2014 8:37 AM","","11/20/2014"
"F14-132","Judy Garland","7/16/2014","Female","Domestic Short Hair","Black","Adopted","9/9/2014 8:38 AM","","7/11/2016"
"F14-133","Flame","8/2/2014","Female","Domestic Short Hair","Brown Tabby","Adopted","9/27/2014 8:24 PM","","9/22/2015"
"F14-134","Autumn H","8/11/2012","Female","Ragdoll","Gray  Blue or Silver Tabby","Adopted","10/2/2014 8:03 AM","","1/13/2015"
"F14-135","Cinder H","8/4/2014","Female","Domestic Short Hair","Gray and White","Adopted","10/2/2014 8:06 AM","","12/13/2014"
"F14-136","Amber H","8/4/2014","Female","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","10/2/2014 8:07 AM","","12/13/2014"
"F14-137","Chestnut H","8/4/2014","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","10/2/2014 8:07 AM","","11/25/2014"
"F14-138","Acorn H","8/4/2014","Male","Domestic Short Hair","Brown Tabby","Adopted","10/2/2014 8:08 AM","","11/23/2014"
"F14-139","Leaf H","8/4/2014","Male","Domestic Short Hair","Black and White","Adopted","10/2/2014 8:08 AM","","12/13/2014"
"F14-140","Twig H","8/4/2014","Male","Domestic Short Hair","Black and White","Adopted","10/2/2014 8:09 AM","","11/23/2014"
"F14-141","Melinda","1/25/2014","Female","Domestic Long Hair","Gray and White","Adopted","10/2/2014 8:58 AM","","2/15/2015"
